IDENTIFIER	BINCODE	NAME
'affx-dapx-5_at'	'0'	'control'
'affx-r2-bs-lys-m_at'	'0'	'control'
'affx-trpnx-5_at'	'0'	'control'
'affx-thrx-5_at'	'0'	'control'
'affx-crex-5_at'	'0'	'control'
'affx-r2-at-actin-m_s_at'	'0'	'control'
'affx-r2-bs-thr-m_s_at'	'0'	'control'
'affx-biob-3_at'	'0'	'control'
'affx-athal-actin_5_r_at'	'0'	'control'
'affx-thrx-m_at'	'0'	'control'
'affx-r2-bs-dap-m_at'	'0'	'control'
'affx-athal-ubq_3_f_at'	'0'	'control'
'affx-biodn-5_at'	'0'	'control'
'affx-athal-25srrna_s_at'	'0'	'control'
'affx-athal-ubq_5_f_at'	'0'	'control'
'affx-r2-bs-phe-5_at'	'0'	'control'
'affx-bioc-5_at'	'0'	'control'
'affx-biob-5_at'	'0'	'control'
'affx-r2-at-u12639_at'	'0'	'control'
'affx-r2-bs-dap-3_at'	'0'	'control'
'affx-dapx-m_at'	'0'	'control'
'affx-lysx-5_at'	'0'	'control'
'affx-r2-bs-thr-5_s_at'	'0'	'control'
'affx-r2-bs-phe-m_at'	'0'	'control'
'affx-lysx-m_at'	'0'	'control'
'affx-crex-3_at'	'0'	'control'
'affx-phex-3_at'	'0'	'control'
'affx-r2-ec-biob-3_at'	'0'	'control'
'affx-r2-ec-biob-5_at'	'0'	'control'
'affx-athal-actin_3_f_at'	'0'	'control'
'affx-r2-at-gapdh-5_s_at'	'0'	'control'
'affx-r2-ec-bioc-5_at'	'0'	'control'
'affx-bioc-3_at'	'0'	'control'
'affx-r2-bs-phe-3_at'	'0'	'control'
'affx-athal-5srrna_at'	'0'	'control'
'affx-r2-at-gapdh-3_s_at'	'0'	'control'
'affx-r2-bs-dap-5_at'	'0'	'control'
'affx-phex-m_at'	'0'	'control'
'affx-r2-at-ubq-5_x_at'	'0'	'control'
'affx-thrx-3_at'	'0'	'control'
'affx-r2-ec-biod-3_at'	'0'	'control'
'affx-r2-bs-thr-3_s_at'	'0'	'control'
'affx-athal-gapdh_3_s_at'	'0'	'control'
'affx-r2-bs-lys-5_at'	'0'	'control'
'affx-r2-ec-bioc-3_at'	'0'	'control'
'affx-athal-gapdh_m_s_at'	'0'	'control'
'affx-r2-ec-biob-m_at'	'0'	'control'
'affx-r2-at-actin-5_s_at'	'0'	'control'
'affx-biodn-3_at'	'0'	'control'
'affx-trpnx-3_at'	'0'	'control'
'affx-trpnx-m_at'	'0'	'control'
'affx-athal-gapdh_5_s_at'	'0'	'control'
'affx-r2-at-actin-3_s_at'	'0'	'control'
'affx-r2-ec-biod-5_at'	'0'	'control'
'affx-r2-p1-cre-5_at'	'0'	'control'
'affx-r2-at-ubq-3_x_at'	'0'	'control'
'affx-athal-actin_m_at'	'0'	'control'
'affx-r2-p1-cre-3_at'	'0'	'control'
'affx-athal-ubq_m_f_at'	'0'	'control'
'affx-phex-5_at'	'0'	'control'
'affx-dapx-3_at'	'0'	'control'
'affx-biob-m_at'	'0'	'control'
'affx-lysx-3_at'	'0'	'control'
'affx-r2-bs-lys-3_at'	'0'	'control'
''	'1'	'PS'
''	'1.1'	'PS.lightreaction'
''	'1.1.1'	'PS.lightreaction.photosystem II'
'254970_at'	'1.1.1.1'	'PS.lightreaction.photosystem II.LHC-II'
'259491_at'	'1.1.1.1'	'PS.lightreaction.photosystem II.LHC-II'
'267002_s_at'	'1.1.1.1'	'PS.lightreaction.photosystem II.LHC-II'
'251082_at'	'1.1.1.1'	'PS.lightreaction.photosystem II.LHC-II'
'263345_s_at'	'1.1.1.1'	'PS.lightreaction.photosystem II.LHC-II'
'259970_at'	'1.1.1.1'	'PS.lightreaction.photosystem II.LHC-II'
'258239_at'	'1.1.1.1'	'PS.lightreaction.photosystem II.LHC-II'
'248151_at'	'1.1.1.1'	'PS.lightreaction.photosystem II.LHC-II'
'265722_at'	'1.1.1.1'	'PS.lightreaction.photosystem II.LHC-II'
'258993_at'	'1.1.1.1'	'PS.lightreaction.photosystem II.LHC-II'
'255997_s_at'	'1.1.1.1'	'PS.lightreaction.photosystem II.LHC-II'
'248409_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'244974_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'264837_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'264959_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'251701_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'245368_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'259981_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'244975_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'245004_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'256979_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'253790_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'245001_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'245022_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
